Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:22:12,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (09) and Primacy Agency in (CA) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA3710316,PALOMAR MTN. SP - DOANE VALLEY,Region 9,California,Transient non-community system,131,,San Diego,6,6,9
CA3710317,PALOMAR MTN. SP - SILVERCREST,Region 9,California,Transient non-community system,143,,San Diego,4,4,9
CA3710802,LA CIMA FIRE CENTER,Region 9,California,Community water system,60,,San Diego,4,6,9
CA4410800,BEN LOMOND CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,100,,Santa Cruz,4,35,9
CA4100502,UC ELKUS RANCH,Region 9,California,Transient non-community system,34,,San Mateo,4,57,33
CA4510800,CAL FIRE - SUGAR PINE CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,60,,Shasta,8,8,7
CA1210800,CAL FIRE-EEL RIVER CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,280,,Humboldt,5,18,8
CA0400070,BUTTE-GLENN COMMUNITY COLLEGE DIST,Region 9,California,Non-Transient non-community system,"18,000",,Butte,7,3,9
CA3410026,CALIFORNIA STATE FAIR,Region 9,California,Community water system,"9,280",,Sacramento,10,5,12
CA0810300,DEL NORTE COAST STATE PARK,Region 9,California,Transient non-community system,"1,051",,Del Norte,4,0,12
CA0810303,JEDEDIAH SMITH STATE PARK,Region 9,California,Transient non-community system,"2,208",,Del Norte,5,2,12
CA5410800,CAL FIRE - MOUNTAIN HOME CNSRVTN CAMP,Region 9,California,Community water system,123,,Tulare,3,2,7
CA5200602,CALTRANS-RED BLUFF REST-SB,Region 9,California,Transient non-community system,"2,500",,Tehama,3,5,6
CA5200603,CALTRANS-RED BLUFF REST-NB,Region 9,California,Transient non-community system,"2,600",,Tehama,3,5,9
CA5205006,CALTRANS-COTTONWOOD TRUCK INSP. FAC.,Region 9,California,Non-Transient non-community system,35,,Tehama,2,0,4
CA4700554,CALTRANS-COLLIER REST STOP,Region 9,California,Transient non-community system,"1,400",,Siskiyou,5,1,10
CA4500283,CALTRANS-HILLCREST SRRA,Region 9,California,Transient non-community system,"2,500",,Shasta,2,6,4
CA4500284,CALTRANS-O'BRIEN SRRA,Region 9,California,Transient non-community system,"2,550",,Shasta,3,2,6
CA4500285,CALTRANS-LAKEHEAD SRRA,Region 9,California,Transient non-community system,"3,500",,Shasta,3,4,4
CA4500289,CALTRANS-SHINGLETOWN SRRA,Region 9,California,Transient non-community system,275,,Shasta,3,1,4
CA1800531,CALTRANS-HONEY LAKE SRRA,Region 9,California,Transient non-community system,350,,Lassen,4,5,11
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,Region 9,California,Community water system,"29,854",,Los Angeles,18,34,29
CA5310800,CAL FIRE-TRINITY RIVER CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,120,,Trinity,8,4,10
CA3200111,FEATHER RIVER COMMUNITY COLLEGE,Region 9,California,Non-Transient non-community system,600,,Plumas,9,4,10
CA1300549,IMPERIAL VALLEY COLLEGE,Region 9,California,Non-Transient non-community system,"8,150",,Imperial,3,58,34
CA2710300,CSP-PFEIFFER BIG SUR,Region 9,California,Community water system,585,,Monterey,5,7,9
CA2710301,CSP-ANDREW MOLERA STATE RESERVE,Region 9,California,Transient non-community system,"1,005",,Monterey,4,4,10
CA2710302,CSP-J.P. BURNS PARK,Region 9,California,Transient non-community system,802,,Monterey,3,3,8
CA2710306,CSP-LIMEKILN,Region 9,California,Transient non-community system,202,,Monterey,5,5,7
CA2310310,CSP-STANDISH HICKEY STATE REC AREA,Region 9,California,Transient non-community system,503,,Mendocino,3,5,5
CA0110800,CHP - MISSION GRADE SCALES,Region 9,California,Transient non-community system,"1,800",PLEASANTON,Alameda,3,1,0
CA4210303,REFUGIO STATE BEACH,Region 9,California,Transient non-community system,855,,Santa Barbara,4,1,16
CA4210304,EL CAPITAN BEACH STATE PARK,Region 9,California,Transient non-community system,915,,Santa Barbara,6,1,16
CA4210305,LAS CRUCES STATE PARK,Region 9,California,Transient non-community system,306,,Santa Barbara,3,1,15
