Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:21:10,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (06) and Primacy Agency in (TX) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
TX1130004,TDCJ WAINWRIGHT UNIT,Region 6,Texas,Community water system,"3,148",,Houston,12,17,11
TX1570002,TDCJ FERGUSON UNIT,Region 6,Texas,Community water system,"3,043",,Madison,13,15,9
TX0200201,TDCJ RAMSEY AREA,Region 6,Texas,Community water system,"5,119",,Brazoria,30,24,11
TX0200204,TDCJ MEMORIAL UNIT,Region 6,Texas,Community water system,"2,501",,Brazoria,12,17,8
TX0260048,TDCJ BUFFALO RANCH,Region 6,Texas,Non-Transient non-community system,25,,Burleson,5,11,4
TX0200688,TDCJ WATER HAULER RIII FACILITIES MAINT,Region 6,Texas,Transient non-community system,25,,Brazoria,5,26,2
TX0380020,TDCJ WATER HAULER R V FACILITIES MAINT,Region 6,Texas,Transient non-community system,25,,Childress,4,5,0
TX0010062,TDCJ WATER HAULER R II FACILITIES MAINTE,Region 6,Texas,Transient non-community system,25,,Anderson,5,1,0
TX0500049,TDCJ WATER HAULER RVI FACILITIES MAINT,Region 6,Texas,Transient non-community system,25,,Coryell,5,7,0
TX0810037,CITY OF FAIRFIELD BOYD UNIT,Region 6,Texas,Community water system,"1,690",,Freestone,10,11,9
TX1490026,TXDOT LIVE OAK COUNTY SRA NB,Region 6,Texas,Transient non-community system,500,,Live Oak,16,6,10
TX1490027,TXDOT LIVE OAK COUNTY SRA SB,Region 6,Texas,Transient non-community system,500,,Live Oak,13,12,9
TX1340002,TEXAS TECH UNIVERSITY CAMPUS JUNCTION,Region 6,Texas,Transient non-community system,160,,Kimble,8,8,8
TX0370037,RUSK STATE HOSPITAL,Region 6,Texas,Non-Transient non-community system,"1,263",,Cherokee,8,12,6
TX0270115,CANYON OF THE EAGLES PARK,Region 6,Texas,Non-Transient non-community system,101,,Burnet,11,7,7
TX1050163,TEXAS STATE UNIVERSITY - FREEMAN CENTER,Region 6,Texas,Transient non-community system,150,,Hays,10,0,4
TX2370002,PRAIRIE VIEW A&M UNIVERSITY,Region 6,Texas,Community water system,"9,550",,Waller,25,19,8
TX1050003,TEXAS STATE UNIVERSITY - SAN MARCOS,Region 6,Texas,Community water system,"43,552",,Hays,14,18,10
